Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
algeria,Transportation,Oil products,Fuel oil,RESFUEL,Supply,International marine bunkers,MARBUNK,High Temperature Heat
algeria,Transportation,Electricity and Heat,Electricity,ELECTR,Final consumption,Rail,RAIL,Electricity
algeria,Transportation,Electricity and Heat,Electricity,ELECTR,Final consumption,Pipeline transport,PIPELINE,Electricity
algeria,Transportation,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Domestic navigation,DOMESNAV,High Temperature Heat
algeria,Transportation,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Rail,RAIL,High Temperature Heat
algeria,Transportation,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Final consumption,Road,ROAD,High Temperature Heat
algeria,Transportation,Oil products,Gas/diesel oil excl. biofuels,NONBIODIES,Supply,International marine bunkers,MARBUNK,High Temperature Heat
algeria,Transportation,Oil products,Liquified petroleum gases (LPG),LPG,Final consumption,Road,ROAD,High Temperature Heat
algeria,Transportation,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Energy industry own use and Losses,Losses,DISTLOSS,High Temperature Heat
algeria,Transportation,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Rail,RAIL,High Temperature Heat
algeria,Transportation,Oil products,Motor gasoline excl. biofuels,NONBIOGASO,Final consumption,Road,ROAD,High Temperature Heat
